root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Oct_clusters,Ser_clusters,DA_clusters
720575940618706043,cell_class,gustatory,633,400,0.25,0.14285714285714285,0.01,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,True,True,False,False,True,True
720575940618706043,cell_class,gustatory,633,400,0.25,0.14285714285714285,0.05,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,True,False,False,True,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.14285714285714285,0.1,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,True,False,False,True,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.04,0.01,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,True,True,False,False,True,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.04,0.05,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,True,False,False,False,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.04,0.1,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,False,False,False,False,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.02,0.01,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,True,False,False,True,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.02,0.05,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,False,False,False,False,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.02,0.1,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,False,False,False,False,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.01,0.01,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,True,False,False,True,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.01,0.05,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,False,False,False,False,False
720575940618706043,cell_class,gustatory,633,400,0.25,0.01,0.1,0.037914691943127965,0.48657187993680884,0.0315955766192733,0.026856240126382307,0.39178515007898895,0.023696682464454975,0.001579778830963665,False,False,False,False,False,False
720575940630553415,cell_class,gustatory,1135,400,0.25,0.14285714285714285,0.01,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,True,True
720575940630553415,cell_class,gustatory,1135,400,0.25,0.14285714285714285,0.05,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,True,False
720575940630553415,cell_class,gustatory,1135,400,0.25,0.14285714285714285,0.1,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,False,False
720575940630553415,cell_class,gustatory,1135,400,0.25,0.04,0.01,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,True,True
720575940630553415,cell_class,gustatory,1135,400,0.25,0.04,0.05,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,False,False
720575940630553415,cell_class,gustatory,1135,400,0.25,0.04,0.1,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,False,False,False,False,False
720575940630553415,cell_class,gustatory,1135,400,0.25,0.02,0.01,0.003524229074889868,0.6237885462555066,0.0026431718061674008,0.006167400881057269,0.20440528634361232,0.15947136563876652,0.0,False,True,False,False,True,True
