root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,Oct_clusters,DA_clusters,Unknown_clusters
720575940627604471,cell_class,AN,481,400,0.25,0.14285714285714285,0.01,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,True,True,True,True,,,
720575940627604471,cell_class,AN,481,400,0.25,0.14285714285714285,0.05,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.14285714285714285,0.1,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.04,0.01,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,True,True,True,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.04,0.05,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.04,0.1,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.02,0.01,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,True,True,True,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.02,0.05,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.02,0.1,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,False,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.01,0.01,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,True,True,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.01,0.05,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,False,False,False,,,
720575940627604471,cell_class,AN,481,400,0.25,0.01,0.1,0.05405405405405406,0.8503118503118503,0.06860706860706861,0.002079002079002079,0.02494802494802495,0.0,0.0,False,False,False,False,,,
720575940629752190,cell_class,AN,5766,400,0.25,0.14285714285714285,0.01,0.03173777315296566,0.9334027055150884,0.011272979535206382,0.005896635449184877,0.010926118626430802,0.006243496357960458,0.0005202913631633715,True,True,False,False,False,False,False
720575940629752190,cell_class,AN,5766,400,0.25,0.14285714285714285,0.05,0.03173777315296566,0.9334027055150884,0.011272979535206382,0.005896635449184877,0.010926118626430802,0.006243496357960458,0.0005202913631633715,False,True,False,False,False,False,False
