root_id,classification_system,cell_type,num_synapses
720575940629416266,cell_class,AN,4876
720575940618459485,cell_class,AN,662
720575940621749697,cell_class,AN,2630
720575940611603502,cell_class,AN,6268
720575940634725345,cell_class,AN,1604
720575940635591776,cell_class,AN,13471
720575940645704996,cell_class,AN,8046
720575940620096926,cell_class,AN,2152
720575940627200004,cell_class,AN,2430
720575940621765813,cell_class,AN,2470
720575940623758377,cell_class,AN,4154
720575940627490065,cell_class,AN,2818
720575940642427789,cell_class,AN,4507
720575940626648634,cell_class,AN,800
720575940605158572,cell_class,AN,2741
720575940632001640,cell_class,AN,1974
720575940647036724,cell_class,AN,3549
720575940626901521,cell_class,AN,1965
720575940627360774,cell_class,AN,2209
720575940616553300,cell_class,AN,6305
720575940636821616,cell_class,AN,46178
720575940639264590,cell_class,AN,2335
720575940620896525,cell_class,AN,626
720575940629486714,cell_class,AN,34805
720575940636805958,cell_class,AN,1817
720575940620116001,cell_class,AN,499
720575940622944915,cell_class,AN,716
720575940625947335,cell_class,AN,703
720575940614189310,cell_class,AN,13677
720575940627230722,cell_class,AN,1493
720575940632556831,cell_class,AN,7968
720575940649812857,cell_class,AN,3866
720575940621751792,cell_class,AN,9370
720575940623467664,cell_class,AN,679
720575940631011781,cell_class,AN,3868
720575940623788519,cell_class,AN,9454
720575940627372090,cell_class,AN,9135
720575940602382304,cell_class,AN,4270
720575940631106767,cell_class,AN,7311
720575940602430944,cell_class,AN,2280
720575940629212098,cell_class,AN,3128
720575940618260500,cell_class,AN,6410
720575940603456288,cell_class,AN,456
720575940603460640,cell_class,AN,9655
720575940603537766,cell_class,AN,656
720575940627621628,cell_class,AN,4555
720575940603574374,cell_class,AN,756
720575940632300973,cell_class,AN,6281
720575940603595366,cell_class,AN,7719
720575940603599206,cell_class,AN,5209
720575940611710322,cell_class,AN,4772
720575940622135757,cell_class,AN,6948
720575940606197193,cell_class,AN,403
720575940615443805,cell_class,AN,8226
720575940606310748,cell_class,AN,887
720575940606567125,cell_class,AN,1703
720575940603882174,cell_class,AN,6159
720575940616343441,cell_class,AN,11475
720575940627398855,cell_class,AN,2527
720575940632987859,cell_class,AN,1251
720575940626198790,cell_class,AN,950
720575940639458037,cell_class,AN,424
720575940607118275,cell_class,AN,464
720575940607128771,cell_class,AN,894
720575940607136707,cell_class,AN,1227
720575940620082598,cell_class,AN,1166
720575940639295347,cell_class,AN,3600
720575940626319900,cell_class,AN,2596
720575940645197188,cell_class,AN,433
720575940608900050,cell_class,AN,2448
720575940608996450,cell_class,AN,1686
720575940626951513,cell_class,AN,8438
