root_id,classification_system,cell_type,num_synapses
720575940622236671,cell_class,gustatory,1895
720575940616971035,cell_class,gustatory,1725
720575940660292225,cell_class,gustatory,628
720575940612422579,cell_class,gustatory,524
720575940620289701,cell_class,gustatory,582
720575940627394376,cell_class,gustatory,570
720575940628198503,cell_class,gustatory,1455
720575940615089369,cell_class,gustatory,1528
720575940627402568,cell_class,gustatory,1510
720575940620589838,cell_class,gustatory,1460
720575940609476562,cell_class,gustatory,1385
720575940620185515,cell_class,gustatory,1405
720575940606801282,cell_class,gustatory,1281
720575940622486922,cell_class,gustatory,1300
720575940623183083,cell_class,gustatory,1829
720575940631082124,cell_class,gustatory,1147
720575940625450498,cell_class,gustatory,1091
720575940616308921,cell_class,gustatory,1245
720575940635172191,cell_class,gustatory,1169
720575940619287278,cell_class,gustatory,1119
720575940631069255,cell_class,gustatory,1221
720575940632889389,cell_class,gustatory,969
720575940615261073,cell_class,gustatory,961
720575940618887217,cell_class,gustatory,1035
720575940644965399,cell_class,gustatory,1076
720575940625031610,cell_class,gustatory,4221
720575940611168921,cell_class,gustatory,882
720575940636487598,cell_class,gustatory,909
720575940632880173,cell_class,gustatory,544
720575940622358057,cell_class,gustatory,1650
720575940631423263,cell_class,gustatory,707
720575940617857694,cell_class,gustatory,913
720575940639332736,cell_class,gustatory,937
720575940623629292,cell_class,gustatory,1016
720575940625861168,cell_class,gustatory,852
720575940629510338,cell_class,gustatory,754
720575940613996959,cell_class,gustatory,813
720575940612010137,cell_class,gustatory,961
720575940622902535,cell_class,gustatory,853
720575940640649691,cell_class,gustatory,800
720575940632634911,cell_class,gustatory,1393
720575940633634199,cell_class,gustatory,848
720575940611184819,cell_class,gustatory,766
720575940623138485,cell_class,gustatory,832
720575940610103906,cell_class,gustatory,918
720575940635990896,cell_class,gustatory,805
720575940635176366,cell_class,gustatory,763
720575940613080751,cell_class,gustatory,805
720575940622604109,cell_class,gustatory,880
720575940632510479,cell_class,gustatory,867
720575940621754367,cell_class,gustatory,702
720575940607500297,cell_class,gustatory,791
720575940622413508,cell_class,gustatory,614
720575940616177458,cell_class,gustatory,971
720575940616742657,cell_class,gustatory,945
720575940627036746,cell_class,gustatory,663
720575940638682787,cell_class,gustatory,722
720575940629884119,cell_class,gustatory,607
720575940615641798,cell_class,gustatory,676
720575940642361485,cell_class,gustatory,1243
720575940620698136,cell_class,gustatory,739
720575940620332404,cell_class,gustatory,739
720575940612819763,cell_class,gustatory,768
720575940624976572,cell_class,gustatory,824
720575940618466384,cell_class,gustatory,648
720575940637650522,cell_class,gustatory,888
720575940629025324,cell_class,gustatory,649
720575940622313971,cell_class,gustatory,701
720575940630797113,cell_class,gustatory,853
720575940616811265,cell_class,gustatory,706
720575940604027168,cell_class,gustatory,749
720575940612208406,cell_class,gustatory,851
720575940631898285,cell_class,gustatory,728
720575940604018208,cell_class,gustatory,682
720575940627110672,cell_class,gustatory,661
720575940625741114,cell_class,gustatory,677
720575940633733601,cell_class,gustatory,679
720575940613601698,cell_class,gustatory,764
720575940626674182,cell_class,gustatory,658
720575940630597177,cell_class,gustatory,605
720575940616264788,cell_class,gustatory,621
720575940624792197,cell_class,gustatory,615
720575940604590048,cell_class,gustatory,1361
720575940631147148,cell_class,gustatory,909
720575940611106453,cell_class,gustatory,716
720575940625203504,cell_class,gustatory,788
720575940620926234,cell_class,gustatory,794
720575940624352643,cell_class,gustatory,580
720575940632467923,cell_class,gustatory,709
720575940631204163,cell_class,gustatory,768
720575940610649442,cell_class,gustatory,628
720575940635425893,cell_class,gustatory,574
720575940626284036,cell_class,gustatory,601
720575940607737099,cell_class,gustatory,459
720575940608296917,cell_class,gustatory,744
720575940629852866,cell_class,gustatory,888
720575940612612581,cell_class,gustatory,677
720575940617094208,cell_class,gustatory,586
