root_id,classification_system,cell_type,num_synapses
720575940626767152,cell_class,unknown_sensory,1642
720575940640554045,cell_class,unknown_sensory,2426
720575940633895469,cell_class,unknown_sensory,2101
720575940620983637,cell_class,unknown_sensory,523
720575940628344074,cell_class,unknown_sensory,8008
720575940638086256,cell_class,unknown_sensory,2324
720575940626570242,cell_class,unknown_sensory,740
720575940609787256,cell_class,unknown_sensory,7284
720575940641265549,cell_class,unknown_sensory,665
720575940617034713,cell_class,unknown_sensory,1302
720575940629887695,cell_class,unknown_sensory,970
720575940619652033,cell_class,unknown_sensory,1686
720575940625653029,cell_class,unknown_sensory,959
720575940632644639,cell_class,unknown_sensory,4279
720575940638836285,cell_class,unknown_sensory,4074
720575940607152476,cell_class,unknown_sensory,802
720575940612420118,cell_class,unknown_sensory,627
720575940630734393,cell_class,unknown_sensory,671
720575940632596449,cell_class,unknown_sensory,3345
720575940615879995,cell_class,unknown_sensory,464
720575940631963821,cell_class,unknown_sensory,2077
720575940616934289,cell_class,unknown_sensory,2817
720575940623511795,cell_class,unknown_sensory,3625
720575940629972215,cell_class,unknown_sensory,565
720575940631070239,cell_class,unknown_sensory,1736
720575940625972261,cell_class,unknown_sensory,4902
720575940635739504,cell_class,unknown_sensory,888
720575940616196539,cell_class,unknown_sensory,10032
720575940620885342,cell_class,unknown_sensory,694
720575940634826135,cell_class,unknown_sensory,6527
720575940632743649,cell_class,unknown_sensory,2162
720575940611643033,cell_class,unknown_sensory,10280
720575940615015976,cell_class,unknown_sensory,3545
720575940645493283,cell_class,unknown_sensory,2496
720575940626396803,cell_class,unknown_sensory,2564
720575940625871181,cell_class,unknown_sensory,2498
720575940606239666,cell_class,unknown_sensory,2839
720575940611630194,cell_class,unknown_sensory,4115
720575940612642730,cell_class,unknown_sensory,4696
720575940622606106,cell_class,unknown_sensory,5355
720575940650760825,cell_class,unknown_sensory,2173
720575940622198772,cell_class,unknown_sensory,1372
720575940637019994,cell_class,unknown_sensory,2835
720575940639972816,cell_class,unknown_sensory,1408
720575940630574659,cell_class,unknown_sensory,2293
720575940620528990,cell_class,unknown_sensory,2181
720575940627274578,cell_class,unknown_sensory,2150
720575940655071905,cell_class,unknown_sensory,3821
720575940637896245,cell_class,unknown_sensory,1442
720575940607166731,cell_class,unknown_sensory,1745
720575940633759840,cell_class,unknown_sensory,3476
720575940624910373,cell_class,unknown_sensory,1857
720575940645108936,cell_class,unknown_sensory,2236
720575940613347474,cell_class,unknown_sensory,3420
720575940620910716,cell_class,unknown_sensory,1836
720575940604782624,cell_class,unknown_sensory,650
720575940627107271,cell_class,unknown_sensory,3939
720575940624186602,cell_class,unknown_sensory,487
720575940633579360,cell_class,unknown_sensory,1715
720575940638357813,cell_class,unknown_sensory,2306
720575940636542565,cell_class,unknown_sensory,1680
720575940630806267,cell_class,unknown_sensory,2881
720575940613004402,cell_class,unknown_sensory,2294
720575940636943849,cell_class,unknown_sensory,1377
720575940620699162,cell_class,unknown_sensory,902
720575940611056482,cell_class,unknown_sensory,1558
720575940631049064,cell_class,unknown_sensory,1787
720575940622406694,cell_class,unknown_sensory,920
720575940631205580,cell_class,unknown_sensory,739
720575940611351193,cell_class,unknown_sensory,849
720575940617668662,cell_class,unknown_sensory,812
720575940626520402,cell_class,unknown_sensory,2026
720575940638054197,cell_class,unknown_sensory,563
720575940614641202,cell_class,unknown_sensory,2039
720575940634667234,cell_class,unknown_sensory,910
720575940626109982,cell_class,unknown_sensory,4318
720575940621848781,cell_class,unknown_sensory,575
720575940640611803,cell_class,unknown_sensory,432
720575940623458633,cell_class,unknown_sensory,709
720575940646039092,cell_class,unknown_sensory,1826
720575940611388595,cell_class,unknown_sensory,468
720575940630434616,cell_class,unknown_sensory,663
720575940624905572,cell_class,unknown_sensory,1761
720575940618156315,cell_class,unknown_sensory,401
720575940618889931,cell_class,unknown_sensory,924
720575940624724458,cell_class,unknown_sensory,1395
720575940634085786,cell_class,unknown_sensory,2069
720575940632040749,cell_class,unknown_sensory,916
720575940644676900,cell_class,unknown_sensory,2004
720575940611959011,cell_class,unknown_sensory,1714
720575940627989609,cell_class,unknown_sensory,1602
720575940659479937,cell_class,unknown_sensory,722
720575940648377209,cell_class,unknown_sensory,1574
720575940633129683,cell_class,unknown_sensory,1954
720575940633194029,cell_class,unknown_sensory,945
720575940624502269,cell_class,unknown_sensory,2092
720575940605161388,cell_class,unknown_sensory,1124
720575940625785731,cell_class,unknown_sensory,1190
720575940622144648,cell_class,unknown_sensory,771
720575940621106465,cell_class,unknown_sensory,948
720575940623951591,cell_class,unknown_sensory,2571
720575940606163842,cell_class,unknown_sensory,2495
720575940622575754,cell_class,unknown_sensory,892
720575940621207517,cell_class,unknown_sensory,919
720575940612256938,cell_class,unknown_sensory,1612
720575940631572141,cell_class,unknown_sensory,1630
720575940606254002,cell_class,unknown_sensory,1857
720575940653233569,cell_class,unknown_sensory,2829
720575940625941022,cell_class,unknown_sensory,1600
720575940623056422,cell_class,unknown_sensory,550
720575940605682790,cell_class,unknown_sensory,4424
720575940604355872,cell_class,unknown_sensory,720
720575940630654539,cell_class,unknown_sensory,1425
720575940639786830,cell_class,unknown_sensory,3460
720575940626311049,cell_class,unknown_sensory,2661
720575940633129171,cell_class,unknown_sensory,1839
