root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,DA_clusters,Oct_clusters
720575940631953619,flow,afferent,517,400,0.25,0.14285714285714285,0.01,0.02321083172147002,0.7214700193423598,0.0038684719535783366,0.0019342359767891683,0.1895551257253385,0.059961315280464215,0.0,True,True,False,True,True,
720575940631953619,flow,afferent,517,400,0.25,0.04,0.01,0.02321083172147002,0.7214700193423598,0.0038684719535783366,0.0019342359767891683,0.1895551257253385,0.059961315280464215,0.0,True,True,False,True,True,
720575940626199059,flow,afferent,995,400,0.25,0.14285714285714285,0.01,0.036180904522613064,0.7276381909547739,0.003015075376884422,0.0,0.10050251256281408,0.13266331658291458,0.0,True,True,False,True,True,
720575940626199059,flow,afferent,995,400,0.25,0.04,0.01,0.036180904522613064,0.7276381909547739,0.003015075376884422,0.0,0.10050251256281408,0.13266331658291458,0.0,False,True,False,True,True,
720575940622403881,flow,afferent,491,400,0.25,0.14285714285714285,0.01,0.008146639511201629,0.395112016293279,0.002036659877800407,0.0,0.570264765784114,0.024439918533604887,0.0,False,True,,True,True,
720575940622403881,flow,afferent,491,400,0.25,0.04,0.01,0.008146639511201629,0.395112016293279,0.002036659877800407,0.0,0.570264765784114,0.024439918533604887,0.0,False,True,,True,False,
720575940624147600,flow,afferent,584,400,0.25,0.14285714285714285,0.01,0.0136986301369863,0.4400684931506849,0.0,0.0017123287671232876,0.2482876712328767,0.2962328767123288,0.0,True,True,,True,True,
720575940624147600,flow,afferent,584,400,0.25,0.04,0.01,0.0136986301369863,0.4400684931506849,0.0,0.0017123287671232876,0.2482876712328767,0.2962328767123288,0.0,False,True,,True,True,
720575940628225323,flow,afferent,431,400,0.25,0.14285714285714285,0.01,0.02320185614849188,0.6635730858468677,0.002320185614849188,0.0,0.19953596287703015,0.11136890951276102,0.0,True,True,,True,True,
720575940628225323,flow,afferent,431,400,0.25,0.04,0.01,0.02320185614849188,0.6635730858468677,0.002320185614849188,0.0,0.19953596287703015,0.11136890951276102,0.0,True,True,,True,True,
720575940610682578,flow,afferent,525,400,0.25,0.14285714285714285,0.01,0.005714285714285714,0.38285714285714284,0.0019047619047619048,0.0,0.26666666666666666,0.34285714285714286,0.0,False,True,,True,True,
720575940610682578,flow,afferent,525,400,0.25,0.04,0.01,0.005714285714285714,0.38285714285714284,0.0019047619047619048,0.0,0.26666666666666666,0.34285714285714286,0.0,False,True,,True,True,
720575940626357586,flow,afferent,480,400,0.25,0.14285714285714285,0.01,0.0020833333333333333,0.69375,0.0,0.0,0.24375,0.06041666666666667,0.0,,True,,True,True,
720575940626357586,flow,afferent,480,400,0.25,0.04,0.01,0.0020833333333333333,0.69375,0.0,0.0,0.24375,0.06041666666666667,0.0,,True,,True,True,
720575940635159982,flow,afferent,948,400,0.25,0.14285714285714285,0.01,0.05379746835443038,0.7415611814345991,0.0031645569620253164,0.0010548523206751054,0.06751054852320675,0.13185654008438819,0.0010548523206751054,True,True,False,True,True,
720575940635159982,flow,afferent,948,400,0.25,0.04,0.01,0.05379746835443038,0.7415611814345991,0.0031645569620253164,0.0010548523206751054,0.06751054852320675,0.13185654008438819,0.0010548523206751054,True,True,False,True,True,
720575940621373680,flow,afferent,415,400,0.25,0.14285714285714285,0.01,0.13012048192771083,0.4987951807228916,0.012048192771084338,0.0024096385542168677,0.21686746987951808,0.13975903614457832,0.0,True,True,True,True,True,
720575940621373680,flow,afferent,415,400,0.25,0.04,0.01,0.13012048192771083,0.4987951807228916,0.012048192771084338,0.0024096385542168677,0.21686746987951808,0.13975903614457832,0.0,True,True,False,True,True,
720575940616599069,flow,afferent,438,400,0.25,0.14285714285714285,0.01,0.05251141552511415,0.6872146118721462,0.0045662100456621,0.0045662100456621,0.16666666666666666,0.08447488584474885,0.0,True,True,False,True,True,False
720575940616599069,flow,afferent,438,400,0.25,0.04,0.01,0.05251141552511415,0.6872146118721462,0.0045662100456621,0.0045662100456621,0.16666666666666666,0.08447488584474885,0.0,True,True,False,True,True,False
720575940639836624,flow,afferent,502,400,0.25,0.14285714285714285,0.01,0.06573705179282868,0.6075697211155379,0.0,0.00796812749003984,0.21912350597609562,0.099601593625498,0.0,True,True,,True,True,False
720575940639836624,flow,afferent,502,400,0.25,0.04,0.01,0.06573705179282868,0.6075697211155379,0.0,0.00796812749003984,0.21912350597609562,0.099601593625498,0.0,True,True,,True,True,False
720575940625383155,flow,afferent,414,400,0.25,0.14285714285714285,0.01,0.07971014492753623,0.6038647342995169,0.014492753623188406,0.004830917874396135,0.21014492753623187,0.08695652173913043,0.0,True,True,True,True,True,False
720575940625383155,flow,afferent,414,400,0.25,0.04,0.01,0.07971014492753623,0.6038647342995169,0.014492753623188406,0.004830917874396135,0.21014492753623187,0.08695652173913043,0.0,True,True,False,True,True,False
720575940626064138,flow,afferent,431,400,0.25,0.14285714285714285,0.01,0.027842227378190254,0.5174013921113689,0.009280742459396751,0.004640371229698376,0.22041763341067286,0.22041763341067286,0.0,True,True,False,True,True,False
720575940626064138,flow,afferent,431,400,0.25,0.04,0.01,0.027842227378190254,0.5174013921113689,0.009280742459396751,0.004640371229698376,0.22041763341067286,0.22041763341067286,0.0,False,True,False,True,True,False
720575940647097732,flow,afferent,522,400,0.25,0.14285714285714285,0.01,0.005747126436781609,0.3045977011494253,0.0019157088122605363,0.007662835249042145,0.5440613026819924,0.1360153256704981,0.0,False,True,,True,True,False
720575940647097732,flow,afferent,522,400,0.25,0.04,0.01,0.005747126436781609,0.3045977011494253,0.0019157088122605363,0.007662835249042145,0.5440613026819924,0.1360153256704981,0.0,False,True,,True,True,False
720575940619440878,flow,afferent,430,400,0.25,0.14285714285714285,0.01,0.03255813953488372,0.5837209302325581,0.0,0.0,0.23953488372093024,0.14418604651162792,0.0,True,True,,True,True,
720575940619440878,flow,afferent,430,400,0.25,0.04,0.01,0.03255813953488372,0.5837209302325581,0.0,0.0,0.23953488372093024,0.14418604651162792,0.0,True,True,,True,True,
720575940621904166,flow,afferent,476,400,0.25,0.14285714285714285,0.01,0.025210084033613446,0.6701680672268907,0.0021008403361344537,0.0,0.24369747899159663,0.058823529411764705,0.0,True,True,,True,True,
720575940621904166,flow,afferent,476,400,0.25,0.04,0.01,0.025210084033613446,0.6701680672268907,0.0021008403361344537,0.0,0.24369747899159663,0.058823529411764705,0.0,True,True,,True,True,
720575940626012433,flow,afferent,429,400,0.25,0.14285714285714285,0.01,0.018648018648018648,0.6223776223776224,0.0,0.0,0.1888111888111888,0.17016317016317017,0.0,True,True,,True,True,
720575940626012433,flow,afferent,429,400,0.25,0.04,0.01,0.018648018648018648,0.6223776223776224,0.0,0.0,0.1888111888111888,0.17016317016317017,0.0,False,True,,True,True,
720575940631512376,flow,afferent,491,400,0.25,0.14285714285714285,0.01,0.032586558044806514,0.49287169042769857,0.0,0.0,0.3625254582484725,0.1120162932790224,0.0,True,True,,True,True,
