root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Oct_clusters,Ser_clusters,DA_clusters,Unknown_clusters
720575940621264722,flow,afferent,434,400,0.25,0.14285714285714285,0.01,0.07834101382488479,0.4838709677419355,0.1336405529953917,0.08755760368663594,0.14285714285714285,0.06451612903225806,0.009216589861751152,True,True,True,True,True,True,False
720575940621264722,flow,afferent,434,400,0.25,0.04,0.01,0.07834101382488479,0.4838709677419355,0.1336405529953917,0.08755760368663594,0.14285714285714285,0.06451612903225806,0.009216589861751152,True,True,True,True,True,True,False
720575940624836937,flow,afferent,598,400,0.25,0.14285714285714285,0.01,0.2959866220735786,0.4782608695652174,0.0802675585284281,0.013377926421404682,0.043478260869565216,0.08528428093645485,0.0033444816053511705,True,True,True,False,True,True,False
720575940624836937,flow,afferent,598,400,0.25,0.04,0.01,0.2959866220735786,0.4782608695652174,0.0802675585284281,0.013377926421404682,0.043478260869565216,0.08528428093645485,0.0033444816053511705,True,True,True,False,True,True,False
720575940628898792,flow,afferent,426,400,0.25,0.14285714285714285,0.01,0.5868544600938967,0.2112676056338028,0.09859154929577464,0.01643192488262911,0.04225352112676056,0.04460093896713615,0.0,True,True,True,True,True,True,
720575940628898792,flow,afferent,426,400,0.25,0.04,0.01,0.5868544600938967,0.2112676056338028,0.09859154929577464,0.01643192488262911,0.04225352112676056,0.04460093896713615,0.0,True,True,True,False,True,True,
720575940620910160,flow,afferent,429,400,0.25,0.14285714285714285,0.01,0.16783216783216784,0.44755244755244755,0.30303030303030304,0.04428904428904429,0.02097902097902098,0.011655011655011656,0.004662004662004662,True,True,True,True,True,False,False
720575940620910160,flow,afferent,429,400,0.25,0.04,0.01,0.16783216783216784,0.44755244755244755,0.30303030303030304,0.04428904428904429,0.02097902097902098,0.011655011655011656,0.004662004662004662,True,True,True,True,False,False,False
720575940631853007,flow,afferent,405,400,0.25,0.14285714285714285,0.01,0.17530864197530865,0.6049382716049383,0.17777777777777778,0.007407407407407408,0.012345679012345678,0.022222222222222223,0.0,True,True,True,False,False,True,
720575940631853007,flow,afferent,405,400,0.25,0.04,0.01,0.17530864197530865,0.6049382716049383,0.17777777777777778,0.007407407407407408,0.012345679012345678,0.022222222222222223,0.0,True,True,True,False,False,True,
720575940639319622,flow,afferent,448,400,0.25,0.14285714285714285,0.01,0.32589285714285715,0.33035714285714285,0.2700892857142857,0.017857142857142856,0.03794642857142857,0.013392857142857142,0.004464285714285714,True,True,True,True,True,False,False
720575940639319622,flow,afferent,448,400,0.25,0.04,0.01,0.32589285714285715,0.33035714285714285,0.2700892857142857,0.017857142857142856,0.03794642857142857,0.013392857142857142,0.004464285714285714,True,True,True,False,True,False,False
720575940621545819,flow,afferent,463,400,0.25,0.14285714285714285,0.01,0.693304535637149,0.08207343412526998,0.12095032397408208,0.01079913606911447,0.04535637149028078,0.047516198704103674,0.0,True,True,True,True,True,True,
720575940621545819,flow,afferent,463,400,0.25,0.04,0.01,0.693304535637149,0.08207343412526998,0.12095032397408208,0.01079913606911447,0.04535637149028078,0.047516198704103674,0.0,True,True,True,True,True,True,
720575940640214643,flow,afferent,470,400,0.25,0.14285714285714285,0.01,0.41702127659574467,0.34893617021276596,0.13191489361702127,0.014893617021276596,0.06595744680851064,0.02127659574468085,0.0,True,True,True,False,True,True,
720575940640214643,flow,afferent,470,400,0.25,0.04,0.01,0.41702127659574467,0.34893617021276596,0.13191489361702127,0.014893617021276596,0.06595744680851064,0.02127659574468085,0.0,True,True,True,False,True,True,
720575940627970898,flow,afferent,459,400,0.25,0.14285714285714285,0.01,0.644880174291939,0.1503267973856209,0.1111111111111111,0.010893246187363835,0.015250544662309368,0.06753812636165578,0.0,True,True,True,True,True,True,
720575940627970898,flow,afferent,459,400,0.25,0.04,0.01,0.644880174291939,0.1503267973856209,0.1111111111111111,0.010893246187363835,0.015250544662309368,0.06753812636165578,0.0,True,True,True,True,True,True,
720575940606531811,flow,afferent,442,400,0.25,0.14285714285714285,0.01,0.26018099547511314,0.5135746606334841,0.13574660633484162,0.0022624434389140274,0.042986425339366516,0.04524886877828054,0.0,True,True,True,,True,True,
720575940606531811,flow,afferent,442,400,0.25,0.04,0.01,0.26018099547511314,0.5135746606334841,0.13574660633484162,0.0022624434389140274,0.042986425339366516,0.04524886877828054,0.0,True,True,True,,True,True,
720575940613520498,flow,afferent,407,400,0.25,0.14285714285714285,0.01,0.14004914004914004,0.3194103194103194,0.3194103194103194,0.11793611793611794,0.0687960687960688,0.0343980343980344,0.0,True,True,True,True,True,True,
720575940613520498,flow,afferent,407,400,0.25,0.04,0.01,0.14004914004914004,0.3194103194103194,0.3194103194103194,0.11793611793611794,0.0687960687960688,0.0343980343980344,0.0,True,True,True,True,True,True,
720575940612445107,flow,afferent,611,400,0.25,0.14285714285714285,0.01,0.27986906710310966,0.5351882160392799,0.1260229132569558,0.0016366612111292963,0.009819967266775777,0.04746317512274959,0.0,True,True,True,,False,True,
720575940612445107,flow,afferent,611,400,0.25,0.04,0.01,0.27986906710310966,0.5351882160392799,0.1260229132569558,0.0016366612111292963,0.009819967266775777,0.04746317512274959,0.0,True,True,True,,False,True,
720575940625383572,flow,afferent,436,400,0.25,0.14285714285714285,0.01,0.22018348623853212,0.5045871559633027,0.1834862385321101,0.016055045871559634,0.06422018348623854,0.011467889908256881,0.0,True,True,True,True,True,False,
720575940625383572,flow,afferent,436,400,0.25,0.04,0.01,0.22018348623853212,0.5045871559633027,0.1834862385321101,0.016055045871559634,0.06422018348623854,0.011467889908256881,0.0,True,True,True,True,True,False,
720575940634232290,flow,afferent,431,400,0.25,0.14285714285714285,0.01,0.12993039443155452,0.2923433874709977,0.3874709976798144,0.04408352668213457,0.10904872389791183,0.030162412993039442,0.0069605568445475635,True,True,True,True,True,False,False
720575940634232290,flow,afferent,431,400,0.25,0.04,0.01,0.12993039443155452,0.2923433874709977,0.3874709976798144,0.04408352668213457,0.10904872389791183,0.030162412993039442,0.0069605568445475635,True,True,True,True,True,False,False
720575940619909359,flow,afferent,511,400,0.25,0.14285714285714285,0.01,0.5440313111545988,0.09980430528375733,0.16634050880626222,0.0019569471624266144,0.01761252446183953,0.16829745596868884,0.0019569471624266144,True,True,True,,False,True,
720575940619909359,flow,afferent,511,400,0.25,0.04,0.01,0.5440313111545988,0.09980430528375733,0.16634050880626222,0.0019569471624266144,0.01761252446183953,0.16829745596868884,0.0019569471624266144,True,True,True,,False,True,
720575940629083377,flow,afferent,427,400,0.25,0.14285714285714285,0.01,0.09133489461358314,0.1522248243559719,0.5339578454332553,0.10772833723653395,0.06557377049180328,0.04918032786885246,0.0,True,True,True,True,True,True,
720575940629083377,flow,afferent,427,400,0.25,0.04,0.01,0.09133489461358314,0.1522248243559719,0.5339578454332553,0.10772833723653395,0.06557377049180328,0.04918032786885246,0.0,True,True,True,True,True,True,
720575940650440313,flow,afferent,407,400,0.25,0.14285714285714285,0.01,0.2457002457002457,0.40786240786240785,0.2727272727272727,0.002457002457002457,0.019656019656019656,0.051597051597051594,0.0,True,True,True,,True,True,
720575940650440313,flow,afferent,407,400,0.25,0.04,0.01,0.2457002457002457,0.40786240786240785,0.2727272727272727,0.002457002457002457,0.019656019656019656,0.051597051597051594,0.0,True,True,True,,True,True,
720575940621581421,flow,afferent,477,400,0.25,0.14285714285714285,0.01,0.5639412997903563,0.20125786163522014,0.18658280922431866,0.016771488469601678,0.0041928721174004195,0.027253668763102725,0.0,True,True,True,True,False,True,
720575940621581421,flow,afferent,477,400,0.25,0.04,0.01,0.5639412997903563,0.20125786163522014,0.18658280922431866,0.016771488469601678,0.0041928721174004195,0.027253668763102725,0.0,True,True,True,True,False,True,
720575940623885448,flow,afferent,414,400,0.25,0.14285714285714285,0.01,0.06521739130434782,0.28019323671497587,0.24396135265700483,0.11352657004830918,0.20048309178743962,0.0966183574879227,0.0,True,True,True,True,True,True,
720575940623885448,flow,afferent,414,400,0.25,0.04,0.01,0.06521739130434782,0.28019323671497587,0.24396135265700483,0.11352657004830918,0.20048309178743962,0.0966183574879227,0.0,True,True,True,True,True,True,
720575940629012732,flow,afferent,408,400,0.25,0.14285714285714285,0.01,0.2818627450980392,0.3112745098039216,0.2965686274509804,0.0,0.058823529411764705,0.051470588235294115,0.0,True,True,True,,True,True,
720575940629012732,flow,afferent,408,400,0.25,0.04,0.01,0.2818627450980392,0.3112745098039216,0.2965686274509804,0.0,0.058823529411764705,0.051470588235294115,0.0,True,True,True,,True,True,
720575940630223771,flow,afferent,427,400,0.25,0.14285714285714285,0.01,0.11007025761124122,0.3372365339578454,0.3442622950819672,0.01873536299765808,0.11943793911007025,0.06323185011709602,0.00702576112412178,True,True,True,True,True,True,False
720575940630223771,flow,afferent,427,400,0.25,0.04,0.01,0.11007025761124122,0.3372365339578454,0.3442622950819672,0.01873536299765808,0.11943793911007025,0.06323185011709602,0.00702576112412178,True,True,True,False,True,True,False
720575940617035788,flow,afferent,463,400,0.25,0.14285714285714285,0.01,0.2548596112311015,0.28077753779697623,0.2548596112311015,0.0021598272138228943,0.03023758099352052,0.1771058315334773,0.0,True,True,True,,True,True,
720575940617035788,flow,afferent,463,400,0.25,0.04,0.01,0.2548596112311015,0.28077753779697623,0.2548596112311015,0.0021598272138228943,0.03023758099352052,0.1771058315334773,0.0,True,True,True,,True,True,
