root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters
720575940630532439,flow,afferent,419,400,0.25,0.04,0.01,0.081145584725537,0.5608591885441527,0.007159904534606206,0.002386634844868735,0.26014319809069214,0.0883054892601432,0.0,True,True,True,True,False,
720575940631498040,flow,afferent,464,400,0.25,0.14285714285714285,0.01,0.05818965517241379,0.5711206896551724,0.00646551724137931,0.0,0.2995689655172414,0.06465517241379311,0.0,True,True,True,True,False,
720575940631498040,flow,afferent,464,400,0.25,0.04,0.01,0.05818965517241379,0.5711206896551724,0.00646551724137931,0.0,0.2995689655172414,0.06465517241379311,0.0,True,True,True,True,False,
720575940630105851,flow,afferent,413,400,0.25,0.14285714285714285,0.01,0.031476997578692496,0.6828087167070218,0.0,0.0,0.2397094430992736,0.04600484261501211,0.0,True,True,True,True,,
720575940630105851,flow,afferent,413,400,0.25,0.04,0.01,0.031476997578692496,0.6828087167070218,0.0,0.0,0.2397094430992736,0.04600484261501211,0.0,True,True,True,True,,
720575940628210255,flow,afferent,473,400,0.25,0.14285714285714285,0.01,0.012684989429175475,0.5961945031712473,0.006342494714587738,0.0,0.29809725158562367,0.08456659619450317,0.0021141649048625794,False,True,True,True,False,
720575940628210255,flow,afferent,473,400,0.25,0.04,0.01,0.012684989429175475,0.5961945031712473,0.006342494714587738,0.0,0.29809725158562367,0.08456659619450317,0.0021141649048625794,False,True,True,True,False,
720575940624066279,flow,afferent,437,400,0.25,0.14285714285714285,0.01,0.0,0.5377574370709383,0.002288329519450801,0.002288329519450801,0.39816933638443935,0.059496567505720827,0.0,,True,True,True,,
720575940624066279,flow,afferent,437,400,0.25,0.04,0.01,0.0,0.5377574370709383,0.002288329519450801,0.002288329519450801,0.39816933638443935,0.059496567505720827,0.0,,True,True,True,,
720575940623594248,flow,afferent,542,400,0.25,0.14285714285714285,0.01,0.016605166051660517,0.6217712177121771,0.0036900369003690036,0.0,0.17896678966789667,0.17896678966789667,0.0,False,True,True,True,False,
720575940623594248,flow,afferent,542,400,0.25,0.04,0.01,0.016605166051660517,0.6217712177121771,0.0036900369003690036,0.0,0.17896678966789667,0.17896678966789667,0.0,False,True,True,True,False,
720575940639443328,flow,afferent,496,400,0.25,0.14285714285714285,0.01,0.016129032258064516,0.6673387096774194,0.0,0.0020161290322580645,0.26411290322580644,0.05040322580645161,0.0,True,True,True,True,,
720575940639443328,flow,afferent,496,400,0.25,0.04,0.01,0.016129032258064516,0.6673387096774194,0.0,0.0020161290322580645,0.26411290322580644,0.05040322580645161,0.0,False,True,True,True,,
720575940630093174,flow,afferent,571,400,0.25,0.14285714285714285,0.01,0.012259194395796848,0.658493870402802,0.0,0.0,0.2381786339754816,0.0893169877408056,0.0017513134851138354,False,True,True,True,,
720575940630093174,flow,afferent,571,400,0.25,0.04,0.01,0.012259194395796848,0.658493870402802,0.0,0.0,0.2381786339754816,0.0893169877408056,0.0017513134851138354,False,True,True,True,,
720575940623085495,flow,afferent,508,400,0.25,0.14285714285714285,0.01,0.015748031496062992,0.297244094488189,0.003937007874015748,0.001968503937007874,0.49015748031496065,0.19094488188976377,0.0,True,True,True,True,False,
720575940623085495,flow,afferent,508,400,0.25,0.04,0.01,0.015748031496062992,0.297244094488189,0.003937007874015748,0.001968503937007874,0.49015748031496065,0.19094488188976377,0.0,False,True,True,True,False,
720575940625360784,flow,afferent,519,400,0.25,0.14285714285714285,0.01,0.015414258188824663,0.35452793834296725,0.0,0.0,0.4296724470134875,0.2003853564547206,0.0,False,True,True,True,,
720575940625360784,flow,afferent,519,400,0.25,0.04,0.01,0.015414258188824663,0.35452793834296725,0.0,0.0,0.4296724470134875,0.2003853564547206,0.0,False,True,True,True,,
720575940622039551,flow,afferent,444,400,0.25,0.14285714285714285,0.01,0.01126126126126126,0.3063063063063063,0.0022522522522522522,0.0045045045045045045,0.5337837837837838,0.14189189189189189,0.0,False,True,True,True,,False
720575940622039551,flow,afferent,444,400,0.25,0.04,0.01,0.01126126126126126,0.3063063063063063,0.0022522522522522522,0.0045045045045045045,0.5337837837837838,0.14189189189189189,0.0,False,True,True,True,,False
720575940616713473,flow,afferent,621,400,0.25,0.14285714285714285,0.01,0.0322061191626409,0.25120772946859904,0.014492753623188406,0.01288244766505636,0.571658615136876,0.11755233494363929,0.0,True,True,True,True,False,False
720575940616713473,flow,afferent,621,400,0.25,0.04,0.01,0.0322061191626409,0.25120772946859904,0.014492753623188406,0.01288244766505636,0.571658615136876,0.11755233494363929,0.0,True,True,True,True,False,False
720575940611696370,flow,afferent,449,400,0.25,0.14285714285714285,0.01,0.015590200445434299,0.2828507795100223,0.0022271714922048997,0.0,0.534521158129176,0.16481069042316257,0.0,False,True,True,True,,
720575940611696370,flow,afferent,449,400,0.25,0.04,0.01,0.015590200445434299,0.2828507795100223,0.0022271714922048997,0.0,0.534521158129176,0.16481069042316257,0.0,False,True,True,True,,
720575940623062749,flow,afferent,519,400,0.25,0.14285714285714285,0.01,0.02697495183044316,0.3988439306358382,0.023121387283236993,0.005780346820809248,0.4836223506743738,0.06165703275529865,0.0,True,True,True,True,True,False
