root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,ACh_clusters,Ser_clusters,GABA_clusters,Oct_clusters,DA_clusters,Glut_clusters,Unknown_clusters
720575940651404022,flow,afferent,1256,400,0.25,0.14285714285714285,0.01,0.0007961783439490446,0.8017515923566879,0.05493630573248408,0.0,0.12340764331210191,0.01910828025477707,0.0,True,True,,,False,True,
720575940651404022,flow,afferent,1256,400,0.25,0.04,0.01,0.0007961783439490446,0.8017515923566879,0.05493630573248408,0.0,0.12340764331210191,0.01910828025477707,0.0,True,True,,,False,True,
720575940630114079,flow,afferent,3187,400,0.25,0.14285714285714285,0.01,0.5491057420771885,0.16002510197678066,0.24223407593347976,0.005334170065892689,0.036397866331973644,0.006589268904926263,0.00031377470975839345,True,True,True,False,False,True,
720575940630114079,flow,afferent,3187,400,0.25,0.04,0.01,0.5491057420771885,0.16002510197678066,0.24223407593347976,0.005334170065892689,0.036397866331973644,0.006589268904926263,0.00031377470975839345,True,False,True,False,False,True,
720575940630151455,flow,afferent,3495,400,0.25,0.14285714285714285,0.01,0.010586552217453506,0.9542203147353362,0.021745350500715306,0.002575107296137339,0.004291845493562232,0.005722460658082976,0.0008583690987124463,True,False,False,False,False,True,False
720575940630151455,flow,afferent,3495,400,0.25,0.04,0.01,0.010586552217453506,0.9542203147353362,0.021745350500715306,0.002575107296137339,0.004291845493562232,0.005722460658082976,0.0008583690987124463,True,False,False,False,False,False,False
720575940630193060,flow,afferent,1122,400,0.25,0.14285714285714285,0.01,0.008912655971479501,0.9634581105169341,0.00980392156862745,0.00089126559714795,0.008912655971479501,0.008021390374331552,0.0,True,False,False,,False,False,
720575940630193060,flow,afferent,1122,400,0.25,0.04,0.01,0.008912655971479501,0.9634581105169341,0.00980392156862745,0.00089126559714795,0.008912655971479501,0.008021390374331552,0.0,True,False,False,,False,False,
720575940630204959,flow,afferent,4842,400,0.25,0.14285714285714285,0.01,0.7496902106567535,0.1819496076001652,0.060512185047501034,0.0018587360594795538,0.0026848409748038,0.0030978934324659233,0.00020652622883106156,True,False,True,False,False,True,
720575940630204959,flow,afferent,4842,400,0.25,0.04,0.01,0.7496902106567535,0.1819496076001652,0.060512185047501034,0.0018587360594795538,0.0026848409748038,0.0030978934324659233,0.00020652622883106156,True,False,True,False,False,True,
720575940618344606,flow,afferent,9986,400,0.25,0.14285714285714285,0.01,0.039254956939715605,0.9071700380532746,0.019527338273583016,0.0037051872621670337,0.016523132385339475,0.013318646104546365,0.0005007009813739235,True,False,True,False,False,True,False
720575940618344606,flow,afferent,9986,400,0.25,0.04,0.01,0.039254956939715605,0.9071700380532746,0.019527338273583016,0.0037051872621670337,0.016523132385339475,0.013318646104546365,0.0005007009813739235,True,False,True,False,False,False,False
720575940623158154,flow,afferent,3108,400,0.25,0.14285714285714285,0.01,0.034427284427284426,0.8426640926640927,0.009009009009009009,0.0,0.05952380952380952,0.053732303732303734,0.0006435006435006435,True,True,True,,True,False,False
720575940623158154,flow,afferent,3108,400,0.25,0.04,0.01,0.034427284427284426,0.8426640926640927,0.009009009009009009,0.0,0.05952380952380952,0.053732303732303734,0.0006435006435006435,True,True,False,,False,False,False
720575940654220193,flow,afferent,12279,400,0.25,0.14285714285714285,0.01,0.03339034123299943,0.9412818633439205,0.007492466813258408,0.005863669679941363,0.005863669679941363,0.005782229823275511,0.0003257594266634091,True,False,True,False,False,False,False
720575940654220193,flow,afferent,12279,400,0.25,0.04,0.01,0.03339034123299943,0.9412818633439205,0.007492466813258408,0.005863669679941363,0.005863669679941363,0.005782229823275511,0.0003257594266634091,True,False,False,False,False,False,False
