root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Oct_clusters,Ser_clusters,DA_clusters,Glut_clusters,Unknown_clusters
720575940625884541,flow,afferent,528,400,0.25,0.14285714285714285,0.01,0.007575757575757576,0.6534090909090909,0.0,0.003787878787878788,0.3181818181818182,0.017045454545454544,0.0,False,True,False,True,True,,
720575940625884541,flow,afferent,528,400,0.25,0.04,0.01,0.007575757575757576,0.6534090909090909,0.0,0.003787878787878788,0.3181818181818182,0.017045454545454544,0.0,False,True,False,True,False,,
720575940621914381,flow,afferent,533,400,0.25,0.14285714285714285,0.01,0.039399624765478425,0.7148217636022514,0.001876172607879925,0.001876172607879925,0.2176360225140713,0.024390243902439025,0.0,True,True,,True,True,,
720575940621914381,flow,afferent,533,400,0.25,0.04,0.01,0.039399624765478425,0.7148217636022514,0.001876172607879925,0.001876172607879925,0.2176360225140713,0.024390243902439025,0.0,True,True,,True,False,,
720575940631639570,flow,afferent,474,400,0.25,0.14285714285714285,0.01,0.0189873417721519,0.6054852320675106,0.006329113924050633,0.0,0.29957805907172996,0.06962025316455696,0.0,True,True,,True,True,False,
720575940631639570,flow,afferent,474,400,0.25,0.04,0.01,0.0189873417721519,0.6054852320675106,0.006329113924050633,0.0,0.29957805907172996,0.06962025316455696,0.0,True,True,,True,True,False,
720575940611117425,flow,afferent,614,400,0.25,0.14285714285714285,0.01,0.04234527687296417,0.6319218241042345,0.0016286644951140066,0.014657980456026058,0.2931596091205212,0.016286644951140065,0.0,True,True,True,True,False,,
720575940611117425,flow,afferent,614,400,0.25,0.04,0.01,0.04234527687296417,0.6319218241042345,0.0016286644951140066,0.014657980456026058,0.2931596091205212,0.016286644951140065,0.0,True,True,True,True,False,,
720575940627397386,flow,afferent,478,400,0.25,0.14285714285714285,0.01,0.03138075313807531,0.6401673640167364,0.0020920502092050207,0.0020920502092050207,0.2928870292887029,0.03138075313807531,0.0,True,True,,True,True,,
720575940627397386,flow,afferent,478,400,0.25,0.04,0.01,0.03138075313807531,0.6401673640167364,0.0020920502092050207,0.0020920502092050207,0.2928870292887029,0.03138075313807531,0.0,True,True,,True,True,,
720575940630726095,flow,afferent,562,400,0.25,0.14285714285714285,0.01,0.03914590747330961,0.6619217081850534,0.0,0.0035587188612099642,0.19572953736654805,0.099644128113879,0.0,True,True,False,True,True,,
720575940630726095,flow,afferent,562,400,0.25,0.04,0.01,0.03914590747330961,0.6619217081850534,0.0,0.0035587188612099642,0.19572953736654805,0.099644128113879,0.0,True,True,False,True,True,,
720575940621291852,flow,afferent,535,400,0.25,0.14285714285714285,0.01,0.03925233644859813,0.6149532710280374,0.005607476635514018,0.003738317757009346,0.2953271028037383,0.041121495327102804,0.0,True,True,False,True,True,False,
720575940621291852,flow,afferent,535,400,0.25,0.04,0.01,0.03925233644859813,0.6149532710280374,0.005607476635514018,0.003738317757009346,0.2953271028037383,0.041121495327102804,0.0,True,True,False,True,True,False,
720575940625671426,flow,afferent,500,400,0.25,0.14285714285714285,0.01,0.014,0.702,0.016,0.0,0.236,0.03,0.002,False,True,,True,True,True,
720575940625671426,flow,afferent,500,400,0.25,0.04,0.01,0.014,0.702,0.016,0.0,0.236,0.03,0.002,False,True,,True,True,True,
720575940609114436,flow,afferent,694,400,0.25,0.14285714285714285,0.01,0.04755043227665706,0.6671469740634006,0.002881844380403458,0.008645533141210375,0.138328530259366,0.13544668587896252,0.0,True,True,False,True,True,False,
720575940609114436,flow,afferent,694,400,0.25,0.04,0.01,0.04755043227665706,0.6671469740634006,0.002881844380403458,0.008645533141210375,0.138328530259366,0.13544668587896252,0.0,True,True,False,True,True,False,
720575940627363349,flow,afferent,618,400,0.25,0.14285714285714285,0.01,0.038834951456310676,0.551779935275081,0.0048543689320388345,0.0048543689320388345,0.3268608414239482,0.07281553398058252,0.0,True,True,False,True,True,False,
720575940627363349,flow,afferent,618,400,0.25,0.04,0.01,0.038834951456310676,0.551779935275081,0.0048543689320388345,0.0048543689320388345,0.3268608414239482,0.07281553398058252,0.0,True,True,False,True,True,False,
720575940625341880,flow,afferent,688,400,0.25,0.14285714285714285,0.01,0.03197674418604651,0.47674418604651164,0.015988372093023256,0.007267441860465116,0.32848837209302323,0.13953488372093023,0.0,True,True,False,True,True,False,
720575940625341880,flow,afferent,688,400,0.25,0.04,0.01,0.03197674418604651,0.47674418604651164,0.015988372093023256,0.007267441860465116,0.32848837209302323,0.13953488372093023,0.0,True,True,False,True,True,False,
720575940626589053,flow,afferent,878,400,0.25,0.14285714285714285,0.01,0.03530751708428246,0.6651480637813212,0.004555808656036446,0.0,0.15375854214123008,0.14123006833712984,0.0,False,True,,True,True,False,
720575940626589053,flow,afferent,878,400,0.25,0.04,0.01,0.03530751708428246,0.6651480637813212,0.004555808656036446,0.0,0.15375854214123008,0.14123006833712984,0.0,False,True,,True,True,False,
720575940619675056,flow,afferent,692,400,0.25,0.14285714285714285,0.01,0.023121387283236993,0.541907514450867,0.010115606936416185,0.004335260115606936,0.31213872832369943,0.10838150289017341,0.0,False,True,False,True,True,True,
720575940619675056,flow,afferent,692,400,0.25,0.04,0.01,0.023121387283236993,0.541907514450867,0.010115606936416185,0.004335260115606936,0.31213872832369943,0.10838150289017341,0.0,False,True,False,True,True,False,
720575940615089970,flow,afferent,692,400,0.25,0.14285714285714285,0.01,0.02167630057803468,0.6358381502890174,0.004335260115606936,0.004335260115606936,0.2615606936416185,0.07225433526011561,0.0,True,True,False,True,True,False,
720575940615089970,flow,afferent,692,400,0.25,0.04,0.01,0.02167630057803468,0.6358381502890174,0.004335260115606936,0.004335260115606936,0.2615606936416185,0.07225433526011561,0.0,False,True,False,True,True,False,
720575940621639133,flow,afferent,904,400,0.25,0.14285714285714285,0.01,0.1161504424778761,0.661504424778761,0.20907079646017698,0.00331858407079646,0.004424778761061947,0.0055309734513274336,0.0,True,True,False,False,False,True,
720575940621639133,flow,afferent,904,400,0.25,0.04,0.01,0.1161504424778761,0.661504424778761,0.20907079646017698,0.00331858407079646,0.004424778761061947,0.0055309734513274336,0.0,True,True,False,False,False,True,
720575940637742911,flow,afferent,1028,400,0.25,0.14285714285714285,0.01,0.0029182879377431907,0.021400778210116732,0.013618677042801557,0.006809338521400778,0.9280155642023347,0.027237354085603113,0.0,False,False,False,True,True,False,
720575940637742911,flow,afferent,1028,400,0.25,0.04,0.01,0.0029182879377431907,0.021400778210116732,0.013618677042801557,0.006809338521400778,0.9280155642023347,0.027237354085603113,0.0,False,False,False,True,False,False,
720575940630308567,flow,afferent,881,400,0.25,0.14285714285714285,0.01,0.009080590238365494,0.5402951191827469,0.19409761634506242,0.009080590238365494,0.08740068104426787,0.16004540295119182,0.0,False,True,False,True,True,True,
720575940630308567,flow,afferent,881,400,0.25,0.04,0.01,0.009080590238365494,0.5402951191827469,0.19409761634506242,0.009080590238365494,0.08740068104426787,0.16004540295119182,0.0,False,True,False,True,True,True,
720575940618467195,flow,afferent,804,400,0.25,0.14285714285714285,0.01,0.0472636815920398,0.8395522388059702,0.029850746268656716,0.0012437810945273632,0.07835820895522388,0.0037313432835820895,0.0,True,True,,True,False,True,
720575940618467195,flow,afferent,804,400,0.25,0.04,0.01,0.0472636815920398,0.8395522388059702,0.029850746268656716,0.0012437810945273632,0.07835820895522388,0.0037313432835820895,0.0,True,True,,True,False,False,
720575940646039092,flow,afferent,1826,400,0.25,0.14285714285714285,0.01,0.019715224534501644,0.5498357064622125,0.050383351588170866,0.0016429353778751369,0.3565169769989047,0.02190580503833516,0.0,True,True,False,True,True,True,
720575940646039092,flow,afferent,1826,400,0.25,0.04,0.01,0.019715224534501644,0.5498357064622125,0.050383351588170866,0.0016429353778751369,0.3565169769989047,0.02190580503833516,0.0,True,True,False,True,False,True,
720575940637330921,flow,afferent,5010,400,0.25,0.14285714285714285,0.01,0.0027944111776447107,0.11497005988023952,0.01716566866267465,0.002594810379241517,0.8365269461077844,0.02554890219560878,0.0003992015968063872,False,True,False,True,True,False,False
720575940637330921,flow,afferent,5010,400,0.25,0.04,0.01,0.0027944111776447107,0.11497005988023952,0.01716566866267465,0.002594810379241517,0.8365269461077844,0.02554890219560878,0.0003992015968063872,False,True,False,True,False,False,False
720575940632341452,flow,afferent,1799,400,0.25,0.14285714285714285,0.01,0.006670372429127293,0.6714841578654808,0.07837687604224569,0.008337965536409116,0.1812117843246248,0.05391884380211229,0.0,False,True,False,True,True,True,
720575940632341452,flow,afferent,1799,400,0.25,0.04,0.01,0.006670372429127293,0.6714841578654808,0.07837687604224569,0.008337965536409116,0.1812117843246248,0.05391884380211229,0.0,False,True,False,True,True,True,
720575940626769064,flow,afferent,607,400,0.25,0.14285714285714285,0.01,0.03130148270181219,0.6457990115321252,0.0,0.0,0.28500823723228996,0.03789126853377265,0.0,True,True,,True,True,,
720575940626769064,flow,afferent,607,400,0.25,0.04,0.01,0.03130148270181219,0.6457990115321252,0.0,0.0,0.28500823723228996,0.03789126853377265,0.0,True,True,,True,False,,
720575940619659861,flow,afferent,552,400,0.25,0.14285714285714285,0.01,0.007246376811594203,0.20108695652173914,0.012681159420289856,0.018115942028985508,0.6666666666666666,0.09420289855072464,0.0,False,True,True,True,True,True,
720575940619659861,flow,afferent,552,400,0.25,0.04,0.01,0.007246376811594203,0.20108695652173914,0.012681159420289856,0.018115942028985508,0.6666666666666666,0.09420289855072464,0.0,False,True,False,True,True,False,
720575940617340646,flow,afferent,767,400,0.25,0.14285714285714285,0.01,0.020860495436766623,0.6636245110821382,0.003911342894393742,0.001303780964797914,0.19295958279009126,0.11734028683181226,0.0,True,True,,True,True,False,
720575940617340646,flow,afferent,767,400,0.25,0.04,0.01,0.020860495436766623,0.6636245110821382,0.003911342894393742,0.001303780964797914,0.19295958279009126,0.11734028683181226,0.0,False,True,,True,True,False,
720575940622061132,flow,afferent,548,400,0.25,0.14285714285714285,0.01,0.0072992700729927005,0.4397810218978102,0.2718978102189781,0.029197080291970802,0.16970802919708028,0.07846715328467153,0.0036496350364963502,False,True,True,True,True,True,False
720575940622061132,flow,afferent,548,400,0.25,0.04,0.01,0.0072992700729927005,0.4397810218978102,0.2718978102189781,0.029197080291970802,0.16970802919708028,0.07846715328467153,0.0036496350364963502,False,True,True,True,True,True,False
720575940604340448,flow,afferent,509,400,0.25,0.14285714285714285,0.01,0.009823182711198428,0.43418467583497056,0.0550098231827112,0.025540275049115914,0.4361493123772102,0.03929273084479371,0.0,False,True,True,True,True,True,
720575940604340448,flow,afferent,509,400,0.25,0.04,0.01,0.009823182711198428,0.43418467583497056,0.0550098231827112,0.025540275049115914,0.4361493123772102,0.03929273084479371,0.0,False,True,False,True,False,False,
720575940611261098,flow,afferent,772,400,0.25,0.14285714285714285,0.01,0.015544041450777202,0.866580310880829,0.0051813471502590676,0.0012953367875647669,0.09455958549222798,0.015544041450777202,0.0012953367875647669,False,True,,True,True,False,
720575940611261098,flow,afferent,772,400,0.25,0.04,0.01,0.015544041450777202,0.866580310880829,0.0051813471502590676,0.0012953367875647669,0.09455958549222798,0.015544041450777202,0.0012953367875647669,False,True,,True,False,False,
720575940611388595,flow,afferent,468,400,0.25,0.14285714285714285,0.01,0.06623931623931624,0.13247863247863248,0.1452991452991453,0.027777777777777776,0.6196581196581197,0.00641025641025641,0.002136752136752137,True,True,True,True,False,True,
720575940611388595,flow,afferent,468,400,0.25,0.04,0.01,0.06623931623931624,0.13247863247863248,0.1452991452991453,0.027777777777777776,0.6196581196581197,0.00641025641025641,0.002136752136752137,True,True,True,True,False,True,
720575940616508555,flow,afferent,431,400,0.25,0.14285714285714285,0.01,0.016241299303944315,0.3294663573085847,0.14849187935034802,0.025522041763341066,0.46403712296983757,0.016241299303944315,0.0,True,True,True,True,False,True,
720575940616508555,flow,afferent,431,400,0.25,0.04,0.01,0.016241299303944315,0.3294663573085847,0.14849187935034802,0.025522041763341066,0.46403712296983757,0.016241299303944315,0.0,False,True,False,True,False,True,
