root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Ser_clusters,DA_clusters,Glut_clusters,Oct_clusters,Unknown_clusters
720575940629153274,flow,afferent,720,400,0.25,0.14285714285714285,0.01,0.004166666666666667,0.5083333333333333,0.001388888888888889,0.001388888888888889,0.4375,0.04722222222222222,0.0,False,True,True,True,,,
720575940629153274,flow,afferent,720,400,0.25,0.04,0.01,0.004166666666666667,0.5083333333333333,0.001388888888888889,0.001388888888888889,0.4375,0.04722222222222222,0.0,False,True,True,False,,,
720575940620036417,flow,afferent,521,400,0.25,0.14285714285714285,0.01,0.026871401151631478,0.836852207293666,0.0,0.0,0.09788867562380038,0.03838771593090211,0.0,False,True,True,True,,,
720575940620036417,flow,afferent,521,400,0.25,0.04,0.01,0.026871401151631478,0.836852207293666,0.0,0.0,0.09788867562380038,0.03838771593090211,0.0,False,True,True,True,,,
720575940617674141,flow,afferent,741,400,0.25,0.14285714285714285,0.01,0.020242914979757085,0.7112010796221323,0.004048582995951417,0.0,0.18893387314439947,0.07557354925775979,0.0,True,True,True,True,False,,
720575940617674141,flow,afferent,741,400,0.25,0.04,0.01,0.020242914979757085,0.7112010796221323,0.004048582995951417,0.0,0.18893387314439947,0.07557354925775979,0.0,True,True,True,True,False,,
720575940622196518,flow,afferent,521,400,0.25,0.14285714285714285,0.01,0.05566218809980806,0.527831094049904,0.009596928982725527,0.0,0.18042226487523993,0.22648752399232247,0.0,True,True,True,True,False,,
720575940622196518,flow,afferent,521,400,0.25,0.04,0.01,0.05566218809980806,0.527831094049904,0.009596928982725527,0.0,0.18042226487523993,0.22648752399232247,0.0,True,True,True,True,False,,
720575940632854156,flow,afferent,714,400,0.25,0.14285714285714285,0.01,0.012605042016806723,0.42436974789915966,0.0070028011204481795,0.0014005602240896359,0.4957983193277311,0.058823529411764705,0.0,False,True,True,True,False,,
720575940632854156,flow,afferent,714,400,0.25,0.04,0.01,0.012605042016806723,0.42436974789915966,0.0070028011204481795,0.0014005602240896359,0.4957983193277311,0.058823529411764705,0.0,False,True,True,True,False,,
720575940631450764,flow,afferent,822,400,0.25,0.14285714285714285,0.01,0.014598540145985401,0.7907542579075426,0.0012165450121654502,0.0036496350364963502,0.13017031630170317,0.05961070559610705,0.0,False,True,True,True,,False,
720575940631450764,flow,afferent,822,400,0.25,0.04,0.01,0.014598540145985401,0.7907542579075426,0.0012165450121654502,0.0036496350364963502,0.13017031630170317,0.05961070559610705,0.0,False,True,True,True,,False,
720575940626868361,flow,afferent,486,400,0.25,0.14285714285714285,0.01,0.0102880658436214,0.8827160493827161,0.0,0.0,0.09259259259259259,0.01440329218106996,0.0,False,True,True,True,,,
720575940626868361,flow,afferent,486,400,0.25,0.04,0.01,0.0102880658436214,0.8827160493827161,0.0,0.0,0.09259259259259259,0.01440329218106996,0.0,False,True,True,False,,,
720575940621192436,flow,afferent,451,400,0.25,0.14285714285714285,0.01,0.1574279379157428,0.15521064301552107,0.015521064301552107,0.04212860310421286,0.5698447893569845,0.0598669623059867,0.0,True,True,True,True,True,True,
720575940621192436,flow,afferent,451,400,0.25,0.04,0.01,0.1574279379157428,0.15521064301552107,0.015521064301552107,0.04212860310421286,0.5698447893569845,0.0598669623059867,0.0,True,True,True,True,True,True,
720575940616140171,flow,afferent,760,400,0.25,0.14285714285714285,0.01,0.014473684210526316,0.656578947368421,0.0013157894736842105,0.0,0.23421052631578948,0.09342105263157895,0.0,False,True,True,True,,,
