root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA_ratio,ACh_ratio,Glut_ratio,Oct_ratio,Ser_ratio,DA_ratio,Unknown_ratio,GABA_clusters,ACh_clusters,Glut_clusters,Ser_clusters,DA_clusters,Unknown_clusters,Oct_clusters
720575940631572141,flow,afferent,1630,400,0.25,0.14285714285714285,0.01,0.02638036809815951,0.594478527607362,0.07914110429447853,0.0006134969325153375,0.2785276073619632,0.0196319018404908,0.001226993865030675,True,True,True,True,True,False,
720575940631572141,flow,afferent,1630,400,0.25,0.04,0.01,0.02638036809815951,0.594478527607362,0.07914110429447853,0.0006134969325153375,0.2785276073619632,0.0196319018404908,0.001226993865030675,False,True,True,True,False,False,
720575940606254002,flow,afferent,1857,400,0.25,0.14285714285714285,0.01,0.0026925148088314485,0.8637587506731287,0.041464728056004305,0.0005385029617662897,0.025309639203015617,0.06623586429725363,0.0,False,True,True,False,True,,
720575940606254002,flow,afferent,1857,400,0.25,0.04,0.01,0.0026925148088314485,0.8637587506731287,0.041464728056004305,0.0005385029617662897,0.025309639203015617,0.06623586429725363,0.0,False,True,True,False,True,,
720575940612478181,flow,afferent,1256,400,0.25,0.14285714285714285,0.01,0.01592356687898089,0.8272292993630573,0.10031847133757962,0.0015923566878980893,0.04060509554140127,0.013535031847133758,0.0007961783439490446,True,True,True,True,False,,False
720575940612478181,flow,afferent,1256,400,0.25,0.04,0.01,0.01592356687898089,0.8272292993630573,0.10031847133757962,0.0015923566878980893,0.04060509554140127,0.013535031847133758,0.0007961783439490446,False,True,True,False,False,,False
720575940628194647,flow,afferent,1338,400,0.25,0.14285714285714285,0.01,0.005979073243647235,0.8355754857997011,0.05455904334828102,0.00523168908819133,0.042600896860986545,0.053811659192825115,0.002242152466367713,False,True,True,True,True,False,False
720575940628194647,flow,afferent,1338,400,0.25,0.04,0.01,0.005979073243647235,0.8355754857997011,0.05455904334828102,0.00523168908819133,0.042600896860986545,0.053811659192825115,0.002242152466367713,False,True,False,False,True,False,False
720575940622946963,flow,afferent,1732,400,0.25,0.14285714285714285,0.01,0.005196304849884526,0.898960739030023,0.06812933025404157,0.0011547344110854503,0.016166281755196306,0.010392609699769052,0.0,False,True,True,True,False,,False
720575940622946963,flow,afferent,1732,400,0.25,0.04,0.01,0.005196304849884526,0.898960739030023,0.06812933025404157,0.0011547344110854503,0.016166281755196306,0.010392609699769052,0.0,False,True,True,False,False,,False
720575940628210272,flow,afferent,1252,400,0.25,0.14285714285714285,0.01,0.04712460063897764,0.694888178913738,0.213258785942492,0.031150159744408944,0.004792332268370607,0.00878594249201278,0.0,True,True,True,False,False,,True
720575940628210272,flow,afferent,1252,400,0.25,0.04,0.01,0.04712460063897764,0.694888178913738,0.213258785942492,0.031150159744408944,0.004792332268370607,0.00878594249201278,0.0,False,True,True,False,False,,True
720575940650244342,flow,afferent,988,400,0.25,0.14285714285714285,0.01,0.039473684210526314,0.7074898785425101,0.21153846153846154,0.0,0.022267206477732792,0.019230769230769232,0.0,True,True,True,True,False,,
720575940650244342,flow,afferent,988,400,0.25,0.04,0.01,0.039473684210526314,0.7074898785425101,0.21153846153846154,0.0,0.022267206477732792,0.019230769230769232,0.0,False,True,True,False,False,,
720575940641058523,flow,afferent,1282,400,0.25,0.14285714285714285,0.01,0.0015600624024961,0.07644305772230889,0.0124804992199688,0.0031201248049922,0.859594383775351,0.046021840873634944,0.00078003120124805,False,True,True,True,True,,False
720575940641058523,flow,afferent,1282,400,0.25,0.04,0.01,0.0015600624024961,0.07644305772230889,0.0124804992199688,0.0031201248049922,0.859594383775351,0.046021840873634944,0.00078003120124805,False,True,False,True,True,,False
720575940636395866,flow,afferent,1127,400,0.25,0.14285714285714285,0.01,0.19787045252883761,0.7196095829636202,0.06033717834960071,0.0,0.013309671694764862,0.008873114463176575,0.0,True,True,True,False,False,,
720575940636395866,flow,afferent,1127,400,0.25,0.04,0.01,0.19787045252883761,0.7196095829636202,0.06033717834960071,0.0,0.013309671694764862,0.008873114463176575,0.0,True,True,True,False,False,,
720575940634605531,flow,afferent,1230,400,0.25,0.14285714285714285,0.01,0.0024390243902439024,0.7268292682926829,0.22845528455284553,0.0032520325203252032,0.03414634146341464,0.0040650406504065045,0.0008130081300813008,False,True,True,True,False,,False
720575940634605531,flow,afferent,1230,400,0.25,0.04,0.01,0.0024390243902439024,0.7268292682926829,0.22845528455284553,0.0032520325203252032,0.03414634146341464,0.0040650406504065045,0.0008130081300813008,False,True,True,False,False,,False
720575940626287336,flow,afferent,804,400,0.25,0.14285714285714285,0.01,0.006218905472636816,0.48507462686567165,0.012437810945273632,0.0012437810945273632,0.2873134328358209,0.2064676616915423,0.0012437810945273632,False,True,True,True,True,,
720575940626287336,flow,afferent,804,400,0.25,0.04,0.01,0.006218905472636816,0.48507462686567165,0.012437810945273632,0.0012437810945273632,0.2873134328358209,0.2064676616915423,0.0012437810945273632,False,True,False,True,True,,
720575940612453526,flow,afferent,821,400,0.25,0.14285714285714285,0.01,0.0048721071863581,0.6699147381242387,0.1961023142509135,0.00243605359317905,0.07429963459196103,0.05237515225334957,0.0,False,True,True,True,True,,False
720575940612453526,flow,afferent,821,400,0.25,0.04,0.01,0.0048721071863581,0.6699147381242387,0.1961023142509135,0.00243605359317905,0.07429963459196103,0.05237515225334957,0.0,False,True,True,True,True,,False
720575940632692378,flow,afferent,689,400,0.25,0.14285714285714285,0.01,0.020319303338171262,0.7518142235123367,0.13642960812772134,0.002902757619738752,0.059506531204644414,0.02902757619738752,0.0,True,True,True,True,True,,False
720575940632692378,flow,afferent,689,400,0.25,0.04,0.01,0.020319303338171262,0.7518142235123367,0.13642960812772134,0.002902757619738752,0.059506531204644414,0.02902757619738752,0.0,False,True,True,True,True,,False
720575940620031341,flow,afferent,539,400,0.25,0.14285714285714285,0.01,0.022263450834879406,0.8515769944341373,0.03525046382189239,0.0074211502782931356,0.04823747680890538,0.03525046382189239,0.0,False,True,True,True,True,,False
720575940620031341,flow,afferent,539,400,0.25,0.04,0.01,0.022263450834879406,0.8515769944341373,0.03525046382189239,0.0074211502782931356,0.04823747680890538,0.03525046382189239,0.0,False,True,True,True,True,,False
